date,year,month,month_num,state,crime_type,latitude,longitude,fatalities
2020-01-01,2020,January,1,Abuja (FCT),Cult Clash,9.079,7.4725,2
2020-01-01,2020,January,1,Lagos,Homicide,6.0993,3.5875,1
2020-01-01,2020,January,1,Kano,Fraud,12.1548,8.1686,1
2020-01-01,2020,January,1,Kaduna,Cybercrime,10.0875,7.5551,0
2020-01-02,2020,January,1,Imo,Cult Clash,5.6709,7.0474,0
2020-01-02,2020,January,1,Abuja (FCT),Cult Clash,8.9082,7.5127,2
2020-01-02,2020,January,1,Delta,Terrorism,5.2837,5.8059,0
2020-01-02,2020,January,1,Lagos,Drug Trafficking,6.067,3.2675,1
2020-01-02,2020,January,1,Rivers,Fraud,5.2887,6.7397,1
2020-01-03,2020,January,1,Borno,Fraud,11.4736,13.6182,0
2020-01-03,2020,January,1,Ogun,Drug Trafficking,6.7069,3.5899,1
2020-01-04,2020,January,1,Zamfara,Fraud,12.4305,6.2732,0
2020-01-04,2020,January,1,Lagos,Homicide,6.903,3.6406,0
2020-01-04,2020,January,1,Sokoto,Armed Robbery,13.0141,5.626,0
2020-01-05,2020,January,1,Oyo,Burglary,7.9588,3.4376,0
2020-01-05,2020,January,1,Anambra,Armed Robbery,6.5826,7.415,2
2020-01-05,2020,January,1,Borno,Burglary,11.3914,12.6717,1
2020-01-06,2020,January,1,Delta,Cybercrime,5.4806,5.8072,0
2020-01-06,2020,January,1,Oyo,Cybercrime,7.5533,4.2839,0
2020-01-07,2020,January,1,Lagos,Armed Robbery,6.3611,3.8275,3
2020-01-07,2020,January,1,Imo,Cult Clash,5.4564,7.2481,2
2020-01-08,2020,January,1,Abuja (FCT),Terrorism,9.0859,7.7459,1
2020-01-08,2020,January,1,Abuja (FCT),Terrorism,9.4483,7.81,0
2020-01-08,2020,January,1,Edo,Terrorism,6.6663,5.679,2
2020-01-08,2020,January,1,Lagos,Homicide,6.4574,3.5648,0
2020-01-09,2020,January,1,Oyo,Cybercrime,7.876,4.0041,0
2020-01-09,2020,January,1,Kaduna,Terrorism,10.7086,7.5038,0
2020-01-10,2020,January,1,Edo,Cult Clash,6.1619,5.41,2
2020-01-10,2020,January,1,Oyo,Homicide,7.5917,4.3587,0
2020-01-11,2020,January,1,Borno,Homicide,12.0147,13.5251,1
2020-01-12,2020,January,1,Lagos,Terrorism,6.3362,3.0669,1
2020-01-13,2020,January,1,Ogun,Fraud,7.1415,2.9089,0
2020-01-13,2020,January,1,Edo,Terrorism,6.2898,5.4101,0
2020-01-13,2020,January,1,Imo,Assault,6.0147,6.8574,0
2020-01-14,2020,January,1,Enugu,Armed Robbery,6.3708,7.8889,0
2020-01-14,2020,January,1,Borno,Kidnapping,12.2821,12.9822,1
2020-01-14,2020,January,1,Rivers,Assault,5.1212,7.1735,0
2020-01-15,2020,January,1,Lagos,Terrorism,6.4044,3.2992,4
2020-01-15,2020,January,1,Lagos,Cybercrime,6.6897,3.6684,0
2020-01-15,2020,January,1,Abuja (FCT),Drug Trafficking,9.2907,7.6012,1
